Numero da Instancia;Numero de Estados Avaliados;Passos na Solucao Otima;Tempo de Execucao (s)
1;872;22;0,0218940
2;802;23;0,0156952
3;95;17;0,0024775
4;1667;25;0,0143410
5;141;16;0,0023235
6;815;22;0,0044809
7;641;22;0,0042661
8;548;21;0,0061306
9;294;17;0,0018924
10;331;21;0,0017047
11;624;23;0,0036194
12;1196;23;0,0096994
13;310;19;0,0019946
14;631;22;0,0034839
15;295;19;0,0029604
16;1638;22;0,0114978
17;393;20;0,0033303
18;76;21;0,0009801
19;510;22;0,0043705
20;348;22;0,0022345
21;53;16;0,0002537
22;119;16;0,0005554
23;2381;25;0,0179365
24;909;22;0,0083021
25;748;23;0,0048643
26;1473;25;0,0114898
27;670;21;0,0035804
28;69;13;0,0006267
29;1128;23;0,0092122
30;628;24;0,0041583
31;827;24;0,0043796
32;122;16;0,0009704
33;49;18;0,0002476
34;721;23;0,0065963
35;1689;26;0,0112469
36;3527;27;0,0253841
37;535;22;0,0092221
38;2826;26;0,0199197
39;1383;22;0,0121989
40;1730;25;0,0133193
41;86;14;0,0004651
42;1219;25;0,0069671
43;762;21;0,0075931
44;3171;26;0,0244972
45;1550;24;0,0153381
46;794;24;0,0085336
47;118;18;0,0006011
48;1110;23;0,0075571
49;710;21;0,0059808
50;3498;28;0,0277156
51;344;20;0,0041094
52;3633;27;0,0288628
53;356;19;0,0038977
54;2284;26;0,0168724
55;174;18;0,0009042
56;1352;24;0,0110940
57;301;18;0,0018128
58;1463;24;0,0127971
59;345;23;0,0017103
60;1611;24;0,0128797
61;3987;27;0,0313958
62;2451;25;0,0202850
63;454;21;0,0032513
64;162;22;0,0012291
65;5877;28;0,0461730
66;155;20;0,0057262
67;4675;27;0,0362268
68;3370;27;0,0243552
69;1434;25;0,0086670
70;2555;24;0,0196293
71;704;24;0,0040831
72;561;22;0,0032630
73;5958;27;0,0484692
74;2370;26;0,0239299
75;4277;25;0,0338001
76;1247;26;0,0099631
77;363;20;0,0017648
78;3496;26;0,0275911
79;159;16;0,0012707
80;3668;27;0,0290926
81;394;19;0,0041367
82;606;25;0,0042786
83;86;15;0,0007397
84;107;17;0,0008192
85;147;15;0,0008493
86;1445;25;0,0086960
87;171;17;0,0015645
88;3124;27;0,0244812
89;688;20;0,0038100
90;580;20;0,0049175
91;1593;27;0,0093531
92;2053;26;0,0146457
93;1363;22;0,0115410
94;534;22;0,0035908
95;548;22;0,0034404
96;186;19;0,0014900
97;650;20;0,0050884
98;1368;21;0,0089000
99;838;24;0,0074969
100;2933;25;0,0206206
